,index,url,lecture_name,professor_name,rate,semester,text
0,0,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,코로나 학기여서 개꿀딱! 보고서는 귀찮지만 ㄱㅊ
1,1,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,채플 출석 체크 때문에 감상문 쓰는게 조금 귀찮았지만 그래도 힐링되는 시간이었음.
2,2,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,후배들아 채플을 온라인으로 듣는건 ㄱㅇㄷ이다 진짜...
3,3,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,80.0,20년 1학기,비종교인 입장에서는 심플하게 음악감상하고 좋은 이야기 듣는 가벼운 수업시간 정도였다.그다지 나쁘지는 않았지만 감상문 쓰는게 조금 귀찮기는 했다.
4,4,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,20년 1학기,온라인채플 진행. 동영상 90%이상 보고 감상문 몇줄 적으면 출첵 인정되는 구조. 개인적으론 직접 가서 앉아있어야 하는 오프라인채플보단 편했음ㅋㅋ
5,5,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,이 학교는 왜이렇게 채플에 집착하노? 나는 이번 학기부로 신을 더이상 믿지 않게 되었다. 신이 나에게 잠잘 시간도 안만들어준다는게 말이 되냐? 으휴.....
6,6,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,채플이.. 그냥 드디어 채플 올패쓰~화이팅하세엿!
7,7,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,영어채플이라 잠이 더 잘 오고 집중이 안되더라고요. 교수님은 좋으십니다.
8,8,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,계속 폰 집요하게 잡는 또라이 백퍼 채플 한번 안들어본 비학부생 대학원생이다 얼굴보면 절대 학부생 조교 아닌것같은데 진짜 개스트레스. 교수님은 좋으심
9,9,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,저는 영어 채플이라는 게 있는 줄 모르고 수강신청했는데요... 영어를 모르니까 앞에서 연사분들이 좋은 말씀을 해주셔도 못알아먹겠더라고요;; 그래서 눈 좀 붙이려고 하면 감시자들이 계속 돌아다니면서 자지도 말라고 하고;  그분들이야 할 일을 열심히 하시는 거였겠지만 솔직히 좀 빡쳤어요;; 암튼 영어 듣기에 자신 있는 분 아니면 다른 날 수업을 듣는 게 좋을 것 같네요
10,10,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,폰 잡는것 까진 용인가능하다해도 좀 엉뚱한 애들만 잡는 느낌... 종종 좋은 공연도 있었지만  크게 의미는 못느꼈습니다..
11,11,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,의미를 모르겠는 수업이었다폰 너무 잡던데 폰 안하는 사람들까지 신경쓰일정도였다
12,12,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,"라떼는 말야~ 채플 시간에 노트북 꺼내서 과제도했는데,  너무 빡세게 잡으시네요 ㅠ 잘들엇숨다"
13,13,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,40.0,19년 1학기,채플이 거기서 거기겠지만 저는 조금 실망했습니다저도 사실 핸드폰 하곤 했고 채플가는게 정말 귀찮고 싫었던거라핸드폰하지말라고 단속하실때 그냥 그런가보다 하고 그냥 멍 때리곤 했는데요 제 친구가 공연을해서 집중해서 보고 싶거나 아님 초청 교수님? 오셔서 집중해서 들으려고 하면 옆에서 계속 핸드폰하지마세요 소리 들리고 왓다갔다 돌아다니시니까 집중이 안되고 방해되더라구요.... 학생들 강의 들으라고 그러시는걸텐데 들으려고 하던 사람들까지 듣기 싫어지게 만드는 것 같아요. 국제대라 필수 영어 채플을 듣지만 사실 영어가 익숙치 않은데 옆에서 그런 소리까지 들리니 뭐라는지 잘 안들리고 놓치는 경우도 종종 있었습니다. 어차피 폰 하실 분들은 몰래라도 그냥 하실텐데 왜 굳이 그렇게까지 강의를 듣게 만드는지는 잘 모르겠습니다. 검사하시는 분도 그걸로 엄청 스트레스 받으시는 것 같던데... 물런 당연히 학생으로서 강의를 들어야되고 그게 예의이긴하지만 채플만 유독 깐깐하게 하는 이유를 사실 모르겠구요... 그렇게따지면 애초에 채플응 필수적으로 듣게 하는 것 자체가 종교 강요 아닐까요? 듣고 싶은 사람은 집중할 수 있는 분위기를 만들어주시는 것도 한번쯤 고려해주시면 보다 더 나은 채플 수업이 되지않을까싶네요😊
14,0,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,코로나 학기여서 개꿀딱! 보고서는 귀찮지만 ㄱㅊ
15,1,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,채플 출석 체크 때문에 감상문 쓰는게 조금 귀찮았지만 그래도 힐링되는 시간이었음.
16,2,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,후배들아 채플을 온라인으로 듣는건 ㄱㅇㄷ이다 진짜...
17,3,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,80.0,20년 1학기,비종교인 입장에서는 심플하게 음악감상하고 좋은 이야기 듣는 가벼운 수업시간 정도였다.그다지 나쁘지는 않았지만 감상문 쓰는게 조금 귀찮기는 했다.
18,4,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,20년 1학기,온라인채플 진행. 동영상 90%이상 보고 감상문 몇줄 적으면 출첵 인정되는 구조. 개인적으론 직접 가서 앉아있어야 하는 오프라인채플보단 편했음ㅋㅋ
19,5,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,이 학교는 왜이렇게 채플에 집착하노? 나는 이번 학기부로 신을 더이상 믿지 않게 되었다. 신이 나에게 잠잘 시간도 안만들어준다는게 말이 되냐? 으휴.....
20,6,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,채플이.. 그냥 드디어 채플 올패쓰~화이팅하세엿!
21,7,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,영어채플이라 잠이 더 잘 오고 집중이 안되더라고요. 교수님은 좋으십니다.
22,8,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,계속 폰 집요하게 잡는 또라이 백퍼 채플 한번 안들어본 비학부생 대학원생이다 얼굴보면 절대 학부생 조교 아닌것같은데 진짜 개스트레스. 교수님은 좋으심
